mercantile ,/adj./@商業的;,/adj./@貿易的;,/adj./@商人的;
metallurgy ,/n./@冶金学;
methodical ,/adj./@有条理的;,/adj./@有条不紊的;
meticulous ,/adj./@非常仔細的;,/adj./@一絲不苟的;,/adj./@小心翼翼的;
microphone ,/n./@麥克風;,/n./@話筒;,/n./@擴音器;
microscope ,/n./@显微镜;
millennium ,/n./@千禧年;,/n./@千年期;,/n./@太平盛世;,/n./@黃金時代;
millilitre ,/n./@毫升;
millimetre ,/n./@毫米;
missionary ,/n./@传教士;
moderation ,/n./@适度;,/n./@节制;,/n./@温和;
molybdenum ,/n./@鉬;
monochroic ,/adj./@單色的;
monochrome ,/n./@單色;,/adj./@單色的;,/adj./@黑白的;
monogamous ,/adj./@單一配偶的;
monopolize ,/vt./@垄断;
monotheism ,/n./@一神論;,/n./@一神教;
monotheist ,/n./@一神论者;
monotonous ,/adj./@单调的;
motherhood ,/n./@母亲身份;,/n./@母性;
motivation ,/n./@动力;
multiplier ,/n./@乘數;,/n./@倍增器;
munificent ,/adj./@慷慨的;,/adj./@豐厚的;,/adj./@寬宏的;
mutability ,/n./@易變性;
mutilation ,/n./@伤害;,/n./@截除;,/n./@损坏;,/n./@损伤;
myocardial ,/adj./@心肌的;
mysterious ,/adj./@神秘的;
narcissist ,/n./@自我陶醉者;,/n./@孤芳自赏者;,/n./@自戀者;
navigation ,/n./@航行;,/n./@航海;
neutralize ,/v./@中和;,/v./@抵消;
nihilistic ,/adj./@虛無主義的;,/adj./@虛無主義者的;
nomination ,/n./@提名;,/n./@任命;
nominative ,/n./@主格;,/adj./@主格的;
nonchalant ,/adj./@冷淡的;,/adj./@不關心的;
obligation ,/n./@义务;
obligatory ,/adj./@義務的;
obliterate ,/v./@刪去;,/v./@抹掉;,/vt./@清除;,/vt./@摧毁;
obtainable ,/adj./@可获得的;
occasional ,/adj./@偶尔的;
occidental ,/adj./@西方的;,/adj./@西洋的;
occupation ,/n./@職業;,/n./@佔有;
occurrence ,/n./@发生;,/n./@出現;
octahedron ,/n./@八面體;
omnificent ,/adj./@創造萬物的;
omniscient ,/adj./@全知的;
opposition ,/n./@反对;,/n./@對抗;
optimistic ,/adj./@乐观的;
ornamental ,/adj./@裝飾的;
orthogonal ,/adj./@正交的;,/adj./@直角的;
outlandish ,/adj./@異國風格的;,/adj./@古怪的;,/adj./@离奇的;,/adj./@偏僻的;
outperform ,/vt./@勝過;
paedophile ,/n./@恋童癖者;
pagination ,/n./@分页;
parametric ,/n./@參數;
paranormal ,/adj./@超自然的;,/adj./@超常的;
paraphrase ,/v./@釋義;,/v./@改述;
paraplegia ,/n./@半身不遂;,/n./@下身麻痺;,/n./@截癱;
paraplegic ,/adj./@下身麻痺的;,/adj./@患截瘫的;,/n./@下身麻痺患者;,/n./@截瘫患者;
Parisienne ,/n./@巴黎女子;,/n./@巴黎女孩;,/adj./@巴黎的;,/adj./@巴黎人的;,/adj./@巴黎式的;
participle ,/n./@分詞;
particular ,/adj./特定的;,/adj./@特殊的;,/adj./@挑剔的;,/n./@细节;,/n./@詳細情況;
passionate ,/adj./@热烈的;
peacefully ,/adv./@平静的;,/adv./@和平的;
pedestrian ,/adj./@徒步的;,/n./@行人;
peninsular ,/adj./@半島的;
peppermint ,/n./@薄荷;,/n./@薄荷油;,/n./@薄荷糖;
percentage ,/n./@百分率;,/n./@百分比;
percentile ,/adj./@百分率的;
