debacle ,/n./@崩潰;,/n./@災害;,/n./@解凍;
debrief ,/vt./@聽取匯報;,/vt./@聽取報告;
deceive ,/v./@欺騙;
decency ,/n./@體面;
decimal ,/adj./@十進制的;,/adj./@小數的;
declaim ,/v./@演講;
declare ,/v./@聲明;
decline ,/v./@下降;,/v./@謝絕;
decrypt ,/vt./@解碼;,/v./@解釋;
default ,/n./@默認;,/v.//n./@拖欠;,/v.//n./@不履行;
defence ,/n./@防衛;,/n./@防禦;,/n./@防護;,/n./@保衛;,/n./@答辯;,/n./@抗辯;,/n./@國防;
defense ,/redirected./@target="defence";
defiant ,/adj./@挑釁的;
deficit ,/n./@赤字;
deflate ,/v./@收縮;,/v./@緊縮;
deflect ,/vt./使@偏斜;,/vt./使@轉向;,/vi./@偏斜;,/vi./@轉向;
delight ,/adj./@髙興的;,/adj./@愉快的;
deliver ,/v./@交付;,/v./@傳送;,/v./@遞送;,/v./@接生;
demigod ,/n./@半神半人;,/n./@次神;
density ,/n./@密度;
dentist ,/n./@牙醫;
deplete ,/v./@耗盡;,/v./@用盡;,/v./@衰竭;
deplore ,/v./@譴責;,/v./@哀悼;
deposit ,/v./@存放;,/v./@儲蓄;,/n./@存款;,/n./@押金;,/n./@訂金;,/n./@沉澱;,/v./@沉澱;
depress ,/v./@壓抑;
deprive ,/vt./@剝奪;,/vt./@奪走;,/vt./@搶走;,/vt./@使喪失;
derange ,/v./@擾亂;,/v./@錯亂;
descend ,/v./@下降;,/v./@遗传;
descent ,/n./@血統;,/n./@世襲;
deserve ,/v./@應受;,/v./@應得;
desktop ,/n./@桌面;,/n./@台式机;
despair ,/n./@絕望;
despise ,/vt./@鄙視;
despite ,/v./@不管;,/v./@盡管;
despoil ,/v./@掠奪;
dessert ,/n./@甜點;,/n./@甜食;
destine ,/v./@註定;,/v./@預定;
destiny ,/n./@命運;,/n./@天意;,/n./@定數;
destroy ,/v./@摧毀;
develop ,/v./@发展;
deviate ,/vi./@偏离;,/vi./@背离;,/vi./@脫離;,/vt./@使脫軌;
dextral ,/adj./@右側的;,/adj./@用右手的;,/adj./@右旋的;
diagram ,/n./@圖表;
dialect ,/n./@方言;
dialogo ,/n./@對話;
diamond ,/n./@鑽石;
dictate ,/v./@口授;,/v./@命令;,/v./@口述;
diction ,/n./@措辭;
digital ,/adj./@數字的;
dignify ,/vt./@使高貴;,/vt./@使有尊嚴;
dignity ,/n./@尊嚴;
digraph ,/n./@二合字母;,/n./@二重音字;,/n./@二重字;
digress ,/v./@離題;,/v./@跑題;
diorama ,/n./@透视模型;,/n./@立體模型;,/n./@仿真模型;,/n./@透视缩影;,/n./@透視圖畫;
dioxide ,/n./@二氧化物;
diploma ,/n./@畢業文憑;,/n./@學位證書;
disable ,/v./@致殘;,/v./使@失去能力;
disband ,/v./@解散;,/v./@遣散;
discard ,/v./@抛棄;,/v./@放棄;,/v./@丢弃;
discern ,/v./@識別;
discord ,/n./@不和;,/v./@不一致;
discuss ,/v./@討論;
disdain ,/v./@輕視;
disease ,/n./@疾病;
disgust ,/v./@厭惡;
dislike ,/v./@不喜歡;
dismiss ,/vt./@遣散;,/vt./@解雇;
disobey ,/v./@違反;,/v./@不服從;
display ,/v./@顯示;
dispose ,/v./@處理;
dispute ,/v./@爭論;
disrupt ,/v./@破壞;,/vt./@分裂;,/vt./@瓦解;,/vt./@中斷;,/vt./@擾亂;
dissect ,/vt./@解剖;,/vt./@剖析;,/vt./@分析;
dissent ,/n./@異議;,/n./@不信國教;
distant ,/adj./@遙遠的;
distort ,/v./@扭曲;,/vt./@歪曲;,/vt./@曲解;,/vt./@篡改;
disturb ,/v./@打擾;
diverge ,/vi./@分歧;,/vi./@離題;,/vi./@分叉;,/vi./@偏离;,/vi./@相异;
diverse ,/adj./@多樣的;
divisor ,/n./@除數;
divulge ,/vt./@洩露;,/vt./@暴露;
dolphin ,/n./@海豚;
doormat ,/n./@受氣包;
dormant ,/adj./@休眠的;
drachma ,/n./@德拉克馬;
dragoon ,/n./@龍騎兵;,/n./@重騎兵;,/vt./@迫使;
drapery ,/n./@有皺褶的布;,/n./@有皺褶的窗簾;,/n./@有皺褶的帳幔;,/n./@有皺褶的垂布;,/n./@衣紋;
drastic ,/adj./@激烈的;
dubiety ,/n./@懷疑;
dubious ,/adj./@可疑的;,/adj./@不确定的;,/adj./@怀疑的;
duelist ,/n./@決斗者;
dukedom ,/n./@公國;,/n./@公爵地位;,/n./@公爵領地;
dungeon ,/n./@地牢;
durable ,/adj./@耐用的;,/adj./@持久的;
dustbin ,/n./@垃圾桶;,/n./@垃圾箱;
dwindle ,/v./@减少;,/v./@变小;,/v./@缩小;
dynamic ,/adj./@動態的;
earflap ,/n./@耳罩;
earnest ,/adj./@認眞的;
earthen ,/adj./@土製的;,/adj./@陶製的;,/adj./@地球上的;
ebonite ,/n./@硬化橡皮;,/n./@硬橡膠;
echelon ,/n./@階層;,/n./@梯隊;,/n./@等級;
economy ,/n./@經濟;
ecstasy ,/n./@狂喜;,/n./@入迷;,/n./@忘形;
edifice ,/n./@大廈;
edition ,/n./@版本;
educate ,/v./@教育;
elastic ,/adj./@有彈性的;
elation ,/n./@興髙采烈;
elegant ,/adj./@優雅的;,/adj./@雅緻的;,/adj./@簡明的;,/adj./@精緻的;,/adj./@優美的;
element ,/n./@元素;,/n./@要素;
elevate ,/v./@提升;,/v./@提髙;
elision ,/n./@發音省略;
elusion ,/n./@逃避;,/n./@回避;
elusive ,/adj./@躲閃的;,/adj./@逃避的;,/adj./@躲避的;,/adj./@難以理解的;,/adj./@難以捉摸的;
emanate ,/v./@放射;
embassy ,/n./@使館;
embrace ,/v./@擁抱;,/v./@包含;
emerald ,/n./@綠寶石;,/n./@祖母綠;,/n./@翡翠绿;,/adj./@綠寶石製的;
eminent ,/adj./@傑出的;
emotion ,/n./@情感;
emperor ,/n./@皇帝;
emplace ,/v./@安放;,/v./@安置;,/v./@放列;
empower ,/v./@授權;,/v./使@能夠;
emulate ,/vt./@模擬;,/vt./@仿真;,/vt./@模仿;
enclave ,/n./@飞地;
endorse ,/v./@認可;,/v./@簽署;
enforce ,/v./@強迫;
England ,/n./@英國;
English ,/n./@英語;
engrave ,/v./@刻上;
enhance ,/v./@增強;
ensnare ,/vt./@誘捕;,/vt./@誘入圈套;,/vt./@陷害;
entitle ,/v./@題名;
entropy ,/n./@熵;
entwine ,/vt./@纏繞;,/vt./@糾纏;,/vt./@交錯;
envelop ,/v./@包圍;,/v./@包裹;,/v./@圍繞;,/n./@信封;
envious ,/adj./@嫉妒的;
environ ,/v./@環繞;,/v./@包圍;
eparchy ,/n./@主教管區;
epicure ,/n./@美食家;,/n./@老饕;,/n./@享樂主義者;,/adj./@美食的;
epigram ,/n./@警句;
episode ,/n./@集;,/n./@插曲;,/n./@情節;
epitaph ,/n./@墓志銘;
erasure ,/n./@消除;,/n./@擦除;,/n./@清除;
erosion ,/n./@腐蝕;
erratic ,/adj./@不穩定的;,/adj./@無規律的;,/adj./@飄忽不定的;,/adj./@难以预测的;,/adj./@難以捉摸的;
espouse ,/v./@支持;,/v./@嫁;,/v./@娶;,/v./@贊成;,/v./@信奉;
esquire ,/n./@君子;
eternal ,/adj./@永恆的;
eudemon ,/n./@守護神;,/n./@善良的精靈;
Eurasia ,/n./@歐亞大陸;,/n./@歐羅細亞;
evangel ,/n./@福音;
evasion ,/v./@逃避;
evasive ,/adj./@逃避的;,/adj./@推托的;
evident ,/adj./@證據確鑿的;
exactly ,/adv./@確切地;
exalted ,/adj./@髙尚的;
examine ,/v./@檢測;,/v./@檢查;
example ,/n./@例子;
excerpt ,/n./@摘錄;,/n./@引用;,/n./@節選;,/n./@節錄;,/vt./@摘錄;,/vt./@節錄;
exclaim ,/v./@呼喊;,/v./@感嘆;
exclude ,/v./@排除;,/v./@排斥;
execute ,/v./@執行;
exhaust ,/v./@枯竭;
exhibit ,/v./@展示;,/v./@展出;,/v./@展覽;
expanse ,/n./@廣闊;
expense ,/v./@損失;,/v./@消費;
explain ,/v./@解釋;
