marriage ,/n./@婚姻;
massacre ,/n./@屠殺;,/n./@大屠殺;
maternal ,/adj./@母親的;,/adj./@母性的;,/adj./@母系的;
mattress ,/n./@床墊;
meantime ,/n./@同时;
mechanic ,/n./@机修工;
mediator ,/n./@调解人;
mediocre ,/adj./@普通的;,/adj./@平凡的;,/adj./@中等的;,/adj./@平庸的;
meditate ,/v./@考慮;,/v./@冥想;
memorize ,/v./@记住;
merchant ,/n./@商人;
merciful ,/adj./@仁慈的;
metaphor ,/n./@暗喻;,/n./@隱喻;
midnight ,/n./@午夜;
migraine ,/n./@偏頭痛;
military ,/adj./@军事的;
minister ,/n./@部长;,/n./@牧师;
ministry ,/n./@內閣;,/n./@部;
minority ,/n./@少数;
minutiae ,/n./@小細節;,/n./@小事;
misalign ,/n.//v./@不重合;,/n./@对偏;,/n./@位移;
mischief ,/n./@惡作劇;
mismatch ,/v./@错配;
misorder ,/n./@混乱;
misquote ,/v./@误引;
mistreat ,/v./@虐待;
mitigate ,/v./@緩和;,/v./@減輕;
modality ,/n./@形式;,/n./@形態;
moderate ,/adj./@温和的;,/adj./@适度的;
molecule ,/n./@分子;
momentum ,/n./@勢頭;,/n./@動量;
monarchy ,/n./@君主制;
monopoly ,/n./@垄断;
monument ,/n./@纪念碑;
morality ,/n./@道德品质;
moreover ,/adv./@而且;,/adv./@此外;
morpheme ,/n./@词素;
mortgage ,/v./@抵押;
mosquito ,/n./@蚊子;
motivate ,/v./@激励;
mountain ,/n./@山;
mourning ,/n./@哀痛;
movement ,/n./@运动;
multiple ,/adj./@多样的;
multiply ,/v./@相乘;,/v./@相加;
murderer ,/n./@谋杀者;
musician ,/n./@音乐家;
mustache ,/n./@胡子;,/n./@髭;
mutilate ,/v./@切斷;,/v./@毀傷;,/v./@殘害;
national ,/adj./@国家的;,/adj./@民族的;
nautical ,/adj./@航海的;
navigate ,/v./@航行;,/v./@航空;
necklace ,/n./@项链;
negative ,/adj./@否定的;
nepotism ,/n./@裙帶關係;
newlywed ,/n./@新婚夫妇;
nickname ,/n./@绰号;
nineteen ,/adj./@十九;
nominate ,/v./@提名;,/v./@推薦;,/v./@任命;,/v./@指定;
nonsense ,/n./@废话;,/n./@无稽之谈;
notation ,/n./@符号;,/n./@记号法;,/n./@注释;,/n./@乐谱;
notebook ,/n./@笔记本;
November ,/n./@十一月;
nowadays ,/adv./@如今;,/adv./@目前;
nuisance ,/n./@讨厌的东西;
numerous ,/adj./@大量的;
nutrient ,/n./@營養物;,/n./@營養成分;,/adj./@營養的;
obituary ,/n./@誧告;
oblivion ,/n./@遗忘;,/n./@湮灭;,/n./@赦免;
observer ,/n./@觀察員;
obsidian ,/n./@黑曜石;
obsolete ,/v./@过时;,/adj./@过时的;
obstacle ,/n./@障碍;,/n./@阻碍;
obstruct ,/v./@阻塞;
occasion ,/n./@时机;,/n./@机会;
occident ,/n./@西方;
odometer ,/n./@里程表;
offshore ,/adj./@離岸的;,/adj./@近海的;
oligarch ,/n./@寡頭;,/n./@寡頭執政者;
omelette ,/n./@煎蛋;
omission ,/n./@疏忽;,/n./@遗漏;
oncology ,/n./@腫瘤學;
opponent ,/n./@對手;,/n./@敵手;
opposite ,/adj./@相反的;,/adj./@对立的;
optician ,/n./@眼科醫生;
optimism ,/n./@乐观;,/n./@乐观主义;
optimize ,/v./@优化;
optional ,/adj./@可选的;,/adj./@随意的;
ordinary ,/adj./@普通的;,/adj./@平常的;
ordnance ,/n./@軍火;,/n./@軍械;,/n./@軍需;,/n./@大炮;
organize ,/v./@組織;,/v./@籌備;
oriental ,/adj./@東方的;
original ,/adj./@原始的;,/adj./@最初的;
ornament ,/n./@裝飾;,/n./@裝飾品;
outburst ,/n./@爆发;
outdoors ,/adv./@室外的;
outright ,/adj./@全部的;,/adj./@徹底的;
overcome ,/v./@克服;
overdose ,/v./@服藥過量;,/v./@沉溺;,/n./@服藥過量;
overflow ,/v./@溢出;,/n./@溢出;
overhaul ,/n./@大修;
overload ,/n.//v./@超载;
overlook ,/v./@忽视;
overpass ,/vt./@天桥;
